iter	MultiClass
0	2.36463632
1	2.244361946
2	2.139649186
3	2.060191518
4	2.008334669
5	1.949416778
6	1.896638152
7	1.867989162
8	1.826705731
9	1.793919077
10	1.759386931
11	1.737619163
12	1.705100529
13	1.684189596
14	1.666682552
15	1.645685776
16	1.632498152
17	1.618413613
18	1.599664686
19	1.590914229
20	1.579869403
21	1.571331862
22	1.564037708
23	1.55065954
24	1.544824286
25	1.537371464
26	1.528609901
27	1.519246322
28	1.512362291
29	1.504855708
30	1.499714274
31	1.485041868
32	1.484011064
33	1.482975427
34	1.47692399
35	1.475933369
36	1.465819707
37	1.453828793
38	1.445274332
39	1.438255968
40	1.431660217
41	1.428112008
42	1.419726538
43	1.417823366
44	1.412226129
45	1.403322496
46	1.391913282
47	1.382017886
48	1.377285171
49	1.367201935
50	1.361537587
51	1.355964462
52	1.347642405
53	1.340391986
54	1.331305059
55	1.327322854
56	1.321415217
57	1.319760293
58	1.315897964
59	1.308878211
60	1.30516608
61	1.299625866
62	1.292872691
63	1.28946938
64	1.286296222
65	1.28259807
66	1.279585021
67	1.276888481
68	1.274156132
69	1.2672561
70	1.262351203
71	1.258852039
72	1.255852921
73	1.252783692
74	1.252457627
75	1.246598488
76	1.243083333
77	1.240504501
78	1.234417298
79	1.22788879
80	1.224191773
81	1.222400038
82	1.219861876
83	1.218310058
84	1.216089585
85	1.21116993
86	1.20997813
87	1.208232013
88	1.205820195
89	1.204293926
90	1.202882682
91	1.201077017
92	1.198879328
93	1.19375161
94	1.188921998
95	1.182189485
96	1.181091187
97	1.179088297
98	1.177871817
99	1.17454245
100	1.173783107
101	1.167795386
102	1.166643553
103	1.164944668
104	1.162707795
105	1.161293173
106	1.160782594
107	1.157290868
108	1.155242119
109	1.154668416
110	1.149842621
111	1.149459919
112	1.148243593
113	1.145997953
114	1.144749393
115	1.142819376
116	1.141100961
117	1.14031381
118	1.139231341
119	1.134572785
120	1.133803027
121	1.133349937
122	1.132452074
123	1.131928824
124	1.129422088
125	1.123597929
126	1.12102095
127	1.120454975
128	1.119964022
129	1.119130683
130	1.116167092
131	1.111893531
132	1.110240783
133	1.108022507
134	1.107302472
135	1.103457773
136	1.101240796
137	1.100768108
138	1.09816469
139	1.096856585
140	1.095182461
141	1.093818694
142	1.092296904
143	1.090918438
144	1.090330602
145	1.089648679
146	1.089216421
147	1.089023649
148	1.086616585
149	1.085719952
150	1.085305862
151	1.084550638
152	1.08414567
153	1.083145211
154	1.081651639
155	1.081178568
156	1.0808208
157	1.080087898
158	1.07974623
159	1.076774991
160	1.07504598
161	1.073313326
162	1.069820233
163	1.068265249
164	1.067328261
165	1.064298084
166	1.06306252
167	1.062398828
168	1.062072034
169	1.060688577
170	1.060051263
171	1.057681955
172	1.054978213
173	1.054497182
174	1.054200012
175	1.053668351
176	1.053365658
177	1.052823226
178	1.05257368
179	1.051612022
180	1.050981234
181	1.050831181
182	1.049709197
183	1.049243968
184	1.048801461
185	1.047536046
186	1.046885186
187	1.045088137
188	1.044242443
189	1.043940919
190	1.041042425
191	1.040772299
192	1.040309703
193	1.040155111
194	1.039872505
195	1.039199797
196	1.038698673
197	1.038170502
198	1.037183576
199	1.0366304
200	1.036379267
201	1.035452318
202	1.035273433
203	1.034816181
204	1.030480842
205	1.029036881
206	1.028079699
207	1.027712212
208	1.027278909
209	1.02674384
210	1.026241601
211	1.024716731
212	1.024224815
213	1.023143989
214	1.022740933
215	1.022442809
216	1.020410755
217	1.018382805
218	1.017309112
219	1.013872767
220	1.013535052
221	1.010779422
222	1.010405063
223	1.00976421
224	1.009520916
225	1.008891884
226	1.008639781
227	1.008303862
228	1.007536697
229	1.005144792
230	1.004533668
231	1.004021208
232	1.000096143
233	0.9994513356
234	0.9991874151
235	0.9986661804
236	0.9982739388
237	0.998049078
238	0.9960493041
239	0.9957666405
240	0.994660726
241	0.99411162
242	0.993935251
243	0.9935888029
244	0.9930811766
245	0.9925734769
246	0.9922231433
247	0.9915908184
248	0.9887217847
249	0.9871251167
250	0.9868429444
251	0.9862193703
252	0.9859455464
253	0.9847727605
254	0.9844537297
255	0.9828416394
256	0.9809388782
257	0.9789252008
258	0.9784061539
259	0.9775457531
260	0.9772932747
261	0.9768718672
262	0.9766688329
263	0.9762171831
264	0.975871581
265	0.9757060964
266	0.9754406087
267	0.9744044538
268	0.974172896
269	0.9739047839
270	0.973604253
271	0.9706204731
272	0.9703724143
273	0.9700664288
274	0.9695727365
275	0.9682627069
276	0.9678540535
277	0.9673660014
278	0.9671779702
279	0.9667667069
280	0.9662419434
281	0.9658794756
282	0.964195473
283	0.9638867452
284	0.9637153519
285	0.9635874442
286	0.9631564716
287	0.9606342339
288	0.9588936075
289	0.9575517197
290	0.9571872616
291	0.956940603
292	0.9566658556
293	0.9556893505
294	0.9552905227
295	0.9547931274
296	0.9544401561
297	0.9540489368
298	0.9535439535
299	0.9530188332
300	0.9525343917
301	0.9521863131
302	0.9518515832
303	0.9517130647
304	0.9504759679
305	0.948840744
306	0.9486713534
307	0.9483939464
308	0.948147076
309	0.9479170663
310	0.9477454482
311	0.9474133913
312	0.9465389894
313	0.9461237006
314	0.9458957616
315	0.9457546396
316	0.9454503589
317	0.9449870281
318	0.9444797285
319	0.943312166
320	0.9430640132
321	0.9428316769
322	0.9414667049
323	0.9397109601
324	0.9394468759
325	0.9386713335
326	0.9372174964
327	0.936815411
328	0.9362752932
329	0.9360281795
330	0.9355660758
331	0.9353021508
332	0.9349711056
333	0.9347303088
334	0.934211821
335	0.933993555
336	0.9337465408
337	0.9335770755
338	0.9334238003
339	0.9329156787
340	0.9324791153
341	0.9311907771
342	0.9305192616
343	0.9303467287
344	0.9294140917
345	0.9292058851
346	0.9288778993
347	0.9283740171
348	0.9274164103
349	0.9271936141
350	0.9269370692
351	0.9268146529
352	0.9266071961
353	0.926332599
354	0.925777857
355	0.9255733657
356	0.9247767784
357	0.9237105148
358	0.9234292777
359	0.9231705858
360	0.9221613291
361	0.9205643917
362	0.920325981
363	0.9200745051
364	0.9197952499
365	0.919095144
366	0.9184974271
367	0.9182362691
368	0.9179613595
369	0.9177416428
370	0.9169350376
371	0.9166575452
372	0.9163774665
373	0.9160367756
374	0.9158240009
375	0.9155220103
376	0.9152924097
377	0.9149754115
378	0.9146723329
379	0.9144844375
380	0.9142478522
381	0.911970414
382	0.9117083149
383	0.9109743398
384	0.910647711
385	0.910482179
386	0.9101994299
387	0.9100540064
388	0.9095411259
389	0.9093778647
390	0.9090225881
391	0.9082814513
392	0.9080651211
393	0.9078789824
394	0.9077155258
395	0.907357434
396	0.906964675
397	0.9067456294
398	0.9045496819
399	0.9037024832
400	0.9033170754
401	0.9009539642
402	0.9004823623
403	0.900237841
404	0.9000266731
405	0.899780551
406	0.8996115153
407	0.899365469
408	0.8987460985
409	0.8986321257
410	0.8983648402
411	0.8981876877
412	0.8974558902
413	0.8972642319
414	0.8962835692
415	0.8959691465
416	0.8954277384
417	0.8938806144
418	0.8936413474
419	0.8934326553
420	0.8930976306
421	0.8924762217
422	0.8912223239
423	0.8907008898
424	0.890451291
425	0.8903043443
426	0.8901435751
427	0.8899633976
428	0.8897003069
429	0.8892991529
430	0.8887445206
431	0.8885667281
432	0.8881766014
433	0.8873147141
434	0.8870695888
435	0.8844666395
436	0.8842356507
437	0.8840762304
438	0.8831894066
439	0.8828539777
440	0.8825743747
441	0.8824465046
442	0.8821985707
443	0.8818427188
444	0.8814686116
445	0.8812421254
446	0.8806855608
447	0.8804968655
448	0.8799331571
449	0.8771292212
450	0.8768365951
451	0.8765252922
452	0.8762762693
453	0.876148061
454	0.8760219762
455	0.8758398206
456	0.8753395864
457	0.8750229487
458	0.8735634463
459	0.8723941627
460	0.8713366895
461	0.8708220358
462	0.8706337009
463	0.8703421456
464	0.8698757953
465	0.8696996198
466	0.8688615137
467	0.868723204
468	0.8686042502
469	0.8683050044
470	0.8681036165
471	0.8678909197
472	0.8676081003
473	0.8673377625
474	0.8668915622
475	0.8657172563
476	0.8653822672
477	0.8641219338
478	0.8638344953
479	0.8634671064
480	0.8633130511
481	0.8631177827
482	0.8629068211
483	0.8626559173
484	0.862260937
485	0.8620149503
486	0.8618463635
487	0.8608722367
488	0.8606827157
489	0.8602941735
490	0.8600570434
491	0.8597478928
492	0.8595135809
493	0.859345779
494	0.8591022666
495	0.8589847759
496	0.8588003157
497	0.8579289151
498	0.8577406294
499	0.8575376682
500	0.8573906073
501	0.8571094278
502	0.8569529655
503	0.8568042282
504	0.8557790179
505	0.855521882
506	0.8553351446
507	0.8550188036
508	0.8548357092
509	0.8539902805
510	0.8514340542
511	0.8510799773
512	0.850920342
513	0.8503199574
514	0.8500821767
515	0.8498595802
516	0.8496968676
517	0.8495408801
518	0.8492289104
519	0.8490191065
520	0.8488700412
521	0.8486852125
522	0.8484698003
523	0.8482948223
524	0.8469119364
525	0.8466219846
526	0.8464879883
527	0.8462766172
528	0.846052216
529	0.8459206574
530	0.8456656908
531	0.8449284796
532	0.8447120438
533	0.8440144224
534	0.8435734817
535	0.8433781503
536	0.8431903661
537	0.8430236975
538	0.8429195145
539	0.8425559457
540	0.8423079198
541	0.842153154
542	0.841914298
543	0.840019217
544	0.8391232342
545	0.83779091
546	0.8371424396
547	0.8370004584
548	0.8367813808
549	0.836619971
550	0.8360751201
551	0.8357593335
552	0.8355921191
553	0.835415251
554	0.8344781453
555	0.8341815571
556	0.8322534035
557	0.8320905175
558	0.8306180173
559	0.8304781365
560	0.8303249869
561	0.8301515694
562	0.8299487876
563	0.8298177498
564	0.8289692593
565	0.8288281253
566	0.8286488352
567	0.828441673
568	0.8282990498
569	0.8281829799
570	0.8280090824
571	0.8277569217
572	0.8275612486
573	0.8272936253
574	0.8271371006
575	0.8269602143
576	0.8267743494
577	0.8265357022
578	0.8263900436
579	0.826138969
580	0.8260343949
581	0.8259227369
582	0.8251084899
583	0.8249450149
584	0.824780424
585	0.8246595624
586	0.8237394347
587	0.8235820226
588	0.8234493193
589	0.8232791027
590	0.8231401564
591	0.8229212591
592	0.8226298293
593	0.8225120708
594	0.8222875685
595	0.8220611218
596	0.8219152902
597	0.8210038332
598	0.8207799787
599	0.8203034667
600	0.8199785261
601	0.8197816385
602	0.8196618783
603	0.8181638806
604	0.8179976881
605	0.8167206966
606	0.8165862752
607	0.8162367983
608	0.8160502098
609	0.8155738938
610	0.8152251816
611	0.8150028526
612	0.814687322
613	0.8145872545
614	0.8144006873
615	0.8142800822
616	0.8136210462
617	0.8134278743
618	0.8132952108
619	0.8124203579
620	0.8121796017
621	0.8118079064
622	0.8106548877
623	0.8105094669
624	0.8102989004
625	0.8101220966
626	0.8098332861
627	0.80893682
628	0.8087569596
629	0.8075211363
630	0.8073889761
631	0.8072564755
632	0.8070090514
633	0.8067908646
634	0.8065986318
635	0.8059983639
636	0.8058371687
637	0.8056932394
638	0.8055421238
639	0.8053975035
640	0.8050907126
641	0.8049095136
642	0.8038742602
643	0.8036586195
644	0.8034495845
645	0.803355145
646	0.8032227803
647	0.8029876295
648	0.8027197449
649	0.8025773444
650	0.8023739945
651	0.8005364803
652	0.8003207947
653	0.7998855676
654	0.7995903038
655	0.7994050544
656	0.7992101963
657	0.7984607905
658	0.7982425252
659	0.7980823358
660	0.7973506158
661	0.7971875179
662	0.7970460154
663	0.7967097179
664	0.7965474486
665	0.7962833184
666	0.7961194242
667	0.7959781693
668	0.7954420977
669	0.795194776
670	0.7943287695
671	0.7941928652
672	0.7936656854
673	0.7925542424
674	0.7924236597
675	0.792291977
676	0.7921291731
677	0.7919426437
678	0.79177143
679	0.7915853401
680	0.790896454
681	0.7907685796
682	0.7900778509
683	0.7893323019
684	0.788377509
685	0.7881952372
686	0.7876621652
687	0.7874119429
688	0.7871988696
689	0.7870668667
690	0.7868559727
691	0.7866082081
692	0.7864662647
693	0.786318956
694	0.7862061795
695	0.7858347483
696	0.7851917142
697	0.7849836527
698	0.7847075819
699	0.784507608
700	0.7842984391
701	0.7841907678
702	0.7840324902
703	0.783860233
704	0.783691345
705	0.7835962411
706	0.7833041404
707	0.7831873551
708	0.7823055371
709	0.7813076317
710	0.7811572027
711	0.7809652754
712	0.78051552
713	0.7803215054
714	0.7796958448
715	0.7793751911
716	0.7787200384
717	0.7776834336
718	0.7774807043
719	0.7772544343
720	0.7771468864
721	0.7768621126
722	0.7757636445
723	0.7754332777
724	0.7736428352
725	0.7733366307
726	0.773140846
727	0.7729657398
728	0.7728218396
729	0.7726869668
730	0.772514656
731	0.7723464404
732	0.7721997652
733	0.7720545081
734	0.7719082136
735	0.7717289239
736	0.7714095959
737	0.7708481237
738	0.7707151373
739	0.7705713091
740	0.7704128901
741	0.7701891208
742	0.7700204622
743	0.7698897405
744	0.7694787801
745	0.7692399004
746	0.7680137152
747	0.7678299202
748	0.7669611496
749	0.7667402466
750	0.7659394266
751	0.7657389851
752	0.7656232681
753	0.7654343134
754	0.7652522343
755	0.7650142253
756	0.7648474909
757	0.7638388693
758	0.7637411421
759	0.7635664484
760	0.7633508095
761	0.7631794492
762	0.7630134847
763	0.7625990315
764	0.76245077
765	0.7613286212
766	0.7610647248
767	0.7609142215
768	0.7607399
769	0.7606092394
770	0.7604891198
771	0.760265925
772	0.7601557142
773	0.7600294778
774	0.7598970796
775	0.7597986374
776	0.7596503673
777	0.7595393783
778	0.7592661306
779	0.7591014412
780	0.7589836624
781	0.7588061608
782	0.7585225753
783	0.7583533648
784	0.7581871053
785	0.757960407
786	0.7577840146
787	0.7572220151
788	0.7570230239
789	0.7568897315
790	0.7567450359
791	0.7565177524
792	0.7563533787
793	0.7561808478
794	0.7558964716
795	0.7557785643
796	0.75562593
797	0.7554642684
798	0.7552305899
799	0.7549671292
800	0.7546499362
801	0.754201131
802	0.7540402163
803	0.7538438126
804	0.7520600765
805	0.7519238005
806	0.751568789
807	0.7514145184
808	0.7509728108
809	0.7508056467
810	0.7506183502
811	0.7503549959
812	0.7502684105
813	0.7501638019
814	0.7500368215
815	0.7498550137
816	0.7496903715
817	0.7495349773
818	0.7493395637
819	0.7492237723
820	0.7491124624
821	0.7488651567
822	0.7486431442
823	0.7484962716
824	0.7483495337
825	0.7482064511
826	0.7480676231
827	0.747809849
828	0.7476102949
829	0.7474347178
830	0.7472467852
831	0.7470051791
832	0.7468681931
833	0.7465273528
834	0.7463868406
835	0.7462811012
836	0.7460297839
837	0.7457772042
838	0.7455976751
839	0.7454153345
840	0.7452599135
841	0.7451571342
842	0.7441270783
843	0.7438697079
844	0.7436127468
845	0.7431832318
846	0.7430628326
847	0.742869045
848	0.7427344054
849	0.7425742025
850	0.7419827363
851	0.7413418077
852	0.741260602
853	0.7408338254
854	0.7406913786
855	0.7404935062
856	0.7402274833
857	0.7397983662
858	0.7396021187
859	0.7394278123
860	0.7392818052
861	0.739172435
862	0.7390701435
863	0.7389358881
864	0.7385193122
865	0.7383826898
866	0.7381977419
867	0.7380564381
868	0.7375185507
869	0.7364564084
870	0.7362853792
871	0.7361348717
872	0.7359292147
873	0.7357661046
874	0.7356288368
875	0.7355010962
876	0.7352529196
877	0.7348408772
878	0.7347131246
879	0.7344896386
880	0.7342807416
881	0.7336847151
882	0.7334566029
883	0.7333091011
884	0.7331778586
885	0.7327880514
886	0.7326839659
887	0.7324762114
888	0.7323383691
889	0.7322269558
890	0.7320725791
891	0.7319353479
892	0.7317353149
893	0.7315606762
894	0.731426559
895	0.7312878164
896	0.7310960598
897	0.7309767868
898	0.7307393872
899	0.7304881118
900	0.7303379489
901	0.7301724241
902	0.7295447681
903	0.7293791008
904	0.7290238526
905	0.7289109858
906	0.7287855252
907	0.7286260394
908	0.7284889346
909	0.7280194181
910	0.7279288444
911	0.7275300862
912	0.7274072133
913	0.7272392483
914	0.7271208571
915	0.7269328002
916	0.7268000616
917	0.7266867205
918	0.7265242816
919	0.7263804607
920	0.7262525773
921	0.7257469834
922	0.7255850636
923	0.7254887506
924	0.7253945684
925	0.7251824468
926	0.7250111908
927	0.7248425256
928	0.724709874
929	0.7245213686
930	0.7243101713
931	0.7238594015
932	0.7237143132
933	0.7235941303
934	0.723456422
935	0.7233377421
936	0.7231835246
937	0.7230825347
938	0.7229457514
939	0.7227372846
940	0.7225928884
941	0.7224335563
942	0.7223116137
943	0.7221799913
944	0.7220683897
945	0.7219148668
946	0.7217774082
947	0.7210640116
948	0.7208936176
949	0.7207763499
950	0.7206849367
951	0.7205573199
952	0.7204045638
953	0.7197614944
954	0.7195100181
955	0.719408624
956	0.7193406763
957	0.7192327958
958	0.7190172722
959	0.7174447036
960	0.7173150502
961	0.717204701
962	0.7170842778
963	0.7169377819
964	0.7168556753
965	0.7167087152
966	0.7165198511
967	0.7163501795
968	0.7161842744
969	0.7160739928
970	0.7159004149
971	0.715750446
972	0.7153604422
973	0.7151838334
974	0.7146765479
975	0.7145222166
976	0.7143185549
977	0.714236605
978	0.7140540088
979	0.7139424741
980	0.713758695
981	0.7136599347
982	0.7134331699
983	0.7130603993
984	0.7129458654
985	0.7128579864
986	0.7127718506
987	0.7126372006
988	0.7121684723
989	0.7120382051
990	0.7119299036
991	0.7118028512
992	0.7116818463
993	0.7115892711
994	0.7114443217
995	0.7112199299
996	0.7111279075
997	0.710854352
998	0.7107735242
999	0.710635783
1000	0.7100343165
1001	0.7099219543
1002	0.7097175862
1003	0.7096173907
1004	0.7095022311
1005	0.7093734809
1006	0.7087725993
1007	0.7085241255
1008	0.7071211617
1009	0.7069534339
1010	0.7068080476
1011	0.7066745485
1012	0.7052401087
1013	0.7050792202
1014	0.7049509355
1015	0.7047959063
1016	0.7047019011
1017	0.7045581605
1018	0.7043986892
1019	0.7041922195
1020	0.7040429967
1021	0.7039116545
1022	0.703223731
1023	0.7030838686
1024	0.7022677834
1025	0.7019226595
1026	0.7017129699
1027	0.7016072541
1028	0.7014915881
1029	0.7013994326
1030	0.7005406001
1031	0.7004512313
1032	0.7002830076
1033	0.6999046745
1034	0.6997612764
1035	0.6995461803
1036	0.6994371637
1037	0.697917168
1038	0.6978147641
1039	0.6977112688
1040	0.6975685603
1041	0.6973611837
1042	0.6972263841
1043	0.6964476309
1044	0.6957016978
1045	0.6956114883
1046	0.694625138
1047	0.6944561658
1048	0.6943181419
1049	0.6940078386
1050	0.6936643696
1051	0.6934722039
1052	0.6933945789
1053	0.6929312534
1054	0.6913824281
1055	0.6911957423
1056	0.6911157902
1057	0.6909662423
1058	0.690862041
1059	0.6905109338
1060	0.6903307191
1061	0.6902325014
1062	0.6900700017
1063	0.689976834
1064	0.6897988996
1065	0.6886677127
1066	0.6885533149
1067	0.6884498261
1068	0.6883394092
1069	0.6881880851
1070	0.6880438316
1071	0.6879283603
1072	0.6877944487
1073	0.6876719434
1074	0.6873964747
1075	0.6872516513
1076	0.6871049725
1077	0.6869305198
1078	0.6868158044
1079	0.686613623
1080	0.6864463966
1081	0.6863157497
1082	0.6862221241
1083	0.6849767045
1084	0.6848719093
1085	0.6847085642
1086	0.6846218624
1087	0.6840573857
1088	0.6839411459
1089	0.6826291402
1090	0.682406713
1091	0.682312392
1092	0.6821573607
1093	0.6820691787
1094	0.6818054079
1095	0.6817162354
1096	0.6815325178
1097	0.6814193298
1098	0.6813094533
1099	0.6812272856
1100	0.6811003084
1101	0.6809882438
1102	0.6805596244
1103	0.6801071153
1104	0.680026033
1105	0.6798988073
1106	0.67976982
1107	0.6796544629
1108	0.6795440031
1109	0.6793006704
1110	0.6792170763
1111	0.6786148801
1112	0.6784814052
1113	0.6779659486
1114	0.6778061176
1115	0.6776402002
1116	0.6775101987
1117	0.6773865849
1118	0.6772806766
1119	0.6768412031
1120	0.6766829479
1121	0.6765812008
1122	0.6762885221
1123	0.676204795
1124	0.6760940526
1125	0.6759572383
1126	0.6758793017
1127	0.6756823372
1128	0.6755832957
1129	0.6754809869
1130	0.6750504561
1131	0.674970293
1132	0.6748780153
1133	0.67477763
1134	0.6744027516
1135	0.6739688086
1136	0.6738547915
1137	0.6734453118
1138	0.6732756469
1139	0.6731549243
1140	0.6730286373
1141	0.6729160714
1142	0.6728151731
1143	0.6722369175
1144	0.6721571542
1145	0.6720477046
1146	0.6718862787
1147	0.6707887082
1148	0.6706643315
1149	0.6705761043
1150	0.6704887648
1151	0.6703342703
1152	0.670188155
1153	0.6700529317
1154	0.669923897
1155	0.669605688
1156	0.6690000406
1157	0.6688882647
1158	0.6687962371
1159	0.6686859702
1160	0.6675252397
1161	0.6672668632
1162	0.6671175062
1163	0.6661685563
1164	0.6659820607
1165	0.6658977128
1166	0.6647911376
1167	0.6647093376
1168	0.6645175775
1169	0.6643822936
1170	0.6642850056
1171	0.6639843079
1172	0.6638537337
1173	0.6637431112
1174	0.6635656671
1175	0.6630765598
1176	0.6628391637
1177	0.6625861557
1178	0.6624895434
1179	0.6623649034
1180	0.6609195753
1181	0.6608456822
1182	0.6607446002
1183	0.6606451689
1184	0.660537384
1185	0.6604094941
1186	0.6602350033
1187	0.6601512008
1188	0.6595270837
1189	0.6594275123
1190	0.658610567
1191	0.6584313734
1192	0.6578863874
1193	0.6577850788
1194	0.6576841523
1195	0.6576194187
1196	0.6575137607
1197	0.657440595
1198	0.6572777639
1199	0.65681907
1200	0.6566362139
1201	0.6565245333
1202	0.6561548391
1203	0.6560611907
1204	0.6559174351
1205	0.655816282
1206	0.6557408712
1207	0.6555977171
1208	0.6555013693
1209	0.6553971567
1210	0.6548771309
1211	0.6541459519
1212	0.6540640196
1213	0.6536844419
1214	0.6535645546
1215	0.6532094572
1216	0.6529666346
1217	0.6528860894
1218	0.6527698081
