iter	Passed	Remaining
0	4	6514
1	8	6426
2	13	7257
3	17	7091
4	22	7022
5	27	7416
6	32	7300
7	36	7166
8	40	7139
9	44	7108
10	48	7021
11	52	6992
12	57	7039
13	62	7134
14	67	7086
15	71	7041
16	75	7022
17	79	6996
18	83	6986
19	87	6950
20	91	6898
21	95	6874
22	99	6846
23	104	6836
24	108	6814
25	112	6799
26	116	6796
27	120	6781
28	124	6767
29	129	6758
30	133	6738
31	137	6734
32	141	6713
33	145	6696
34	149	6690
35	153	6668
36	157	6665
37	161	6650
38	166	6649
39	170	6642
40	174	6633
41	178	6622
42	182	6618
43	186	6604
44	191	6603
45	195	6595
46	201	6671
47	210	6794
48	214	6778
49	219	6792
50	223	6777
51	227	6769
52	231	6763
53	235	6752
54	240	6746
55	244	6731
56	248	6723
57	252	6706
58	256	6691
59	260	6676
60	264	6669
61	268	6658
62	272	6650
63	276	6638
64	280	6625
65	284	6613
66	288	6611
67	292	6601
68	296	6589
69	301	6584
70	305	6580
71	309	6573
72	313	6562
73	318	6559
74	322	6547
75	325	6537
76	329	6524
77	333	6512
78	337	6502
79	341	6492
80	345	6481
81	349	6467
82	353	6454
83	357	6443
84	360	6432
85	364	6422
86	368	6414
87	372	6406
88	376	6394
89	380	6385
90	384	6374
91	388	6365
92	392	6357
93	397	6371
94	401	6366
95	407	6376
96	410	6366
97	414	6355
98	418	6344
99	422	6337
100	426	6327
101	430	6319
102	434	6310
103	437	6299
104	441	6290
105	445	6280
106	449	6272
107	453	6262
108	457	6258
109	461	6249
110	465	6239
111	469	6231
112	472	6223
113	476	6215
114	480	6204
115	484	6197
116	488	6188
117	494	6206
118	500	6232
119	504	6227
120	509	6229
121	513	6222
122	517	6214
123	521	6208
124	525	6201
125	529	6194
126	533	6187
127	537	6178
128	541	6169
129	544	6160
130	548	6152
131	552	6145
132	556	6136
133	560	6129
134	564	6121
135	568	6116
136	572	6108
137	576	6104
138	580	6097
139	584	6090
140	588	6085
141	592	6078
142	597	6087
143	601	6081
144	605	6076
145	609	6068
146	613	6061
147	617	6054
148	621	6049
149	625	6043
150	629	6037
151	633	6030
152	637	6024
153	640	6018
154	645	6017
155	649	6012
156	653	6006
157	657	5999
158	661	5993
159	665	5987
160	669	5982
161	673	5977
162	677	5971
163	681	5965
164	685	5962
165	689	5959
166	694	5956
167	698	5954
168	702	5950
169	706	5942
170	710	5937
171	714	5932
172	718	5925
173	722	5918
174	725	5911
175	729	5904
176	733	5898
177	737	5891
178	741	5884
179	745	5877
180	748	5870
181	752	5863
182	756	5857
183	760	5851
184	764	5844
185	767	5836
186	771	5832
187	779	5854
188	784	5855
189	788	5851
190	793	5851
191	797	5851
192	801	5846
193	806	5843
194	810	5836
195	813	5830
196	817	5824
197	821	5819
198	825	5813
199	829	5805
200	833	5799
201	837	5793
202	840	5787
203	845	5782
204	848	5777
205	852	5770
206	856	5763
207	860	5757
208	864	5753
209	868	5746
210	872	5740
211	876	5735
212	879	5729
213	883	5724
214	888	5720
215	891	5715
216	895	5709
217	899	5703
218	903	5698
219	907	5693
220	911	5689
221	915	5683
222	919	5678
223	923	5672
224	927	5665
225	930	5659
226	934	5653
227	938	5647
228	942	5641
229	946	5636
230	950	5631
231	953	5625
232	957	5619
233	961	5613
234	965	5607
235	969	5601
236	972	5595
237	976	5589
238	981	5588
239	985	5585
240	989	5580
241	993	5574
242	997	5568
243	1001	5563
244	1005	5562
245	1009	5556
246	1013	5551
247	1017	5545
248	1021	5541
249	1025	5536
250	1029	5530
251	1032	5525
252	1036	5520
253	1040	5515
254	1044	5509
255	1048	5504
256	1052	5499
257	1058	5504
258	1065	5515
259	1069	5509
260	1073	5506
261	1077	5501
262	1081	5496
263	1085	5491
264	1089	5489
265	1093	5484
266	1097	5479
267	1101	5473
268	1105	5468
269	1109	5463
270	1115	5468
271	1119	5464
272	1123	5458
273	1126	5453
274	1130	5447
275	1134	5442
276	1138	5439
277	1142	5434
278	1146	5428
279	1150	5423
280	1154	5418
281	1158	5412
282	1162	5407
283	1165	5401
284	1169	5397
285	1174	5395
286	1178	5390
287	1182	5387
288	1186	5382
289	1190	5378
290	1194	5374
291	1198	5368
292	1203	5366
293	1206	5361
294	1210	5356
295	1214	5351
296	1218	5346
297	1222	5341
298	1226	5336
299	1230	5331
300	1234	5327
301	1238	5322
302	1242	5317
303	1246	5313
304	1250	5309
305	1254	5305
306	1258	5300
307	1262	5295
308	1266	5290
309	1270	5285
310	1274	5281
311	1278	5276
312	1282	5271
313	1286	5270
314	1290	5265
315	1294	5260
316	1298	5255
317	1302	5250
318	1306	5245
319	1309	5239
320	1313	5234
321	1317	5229
322	1321	5224
323	1325	5219
324	1329	5214
325	1333	5209
326	1336	5204
327	1344	5212
328	1349	5213
329	1353	5207
330	1357	5204
331	1361	5199
332	1365	5196
333	1369	5192
334	1373	5187
335	1377	5183
336	1382	5181
337	1386	5176
338	1390	5171
339	1394	5167
340	1398	5162
341	1402	5159
342	1406	5154
343	1410	5149
344	1414	5144
345	1417	5139
346	1421	5133
347	1426	5130
348	1429	5125
349	1433	5120
350	1437	5115
351	1441	5110
352	1445	5105
353	1449	5101
354	1453	5096
355	1456	5091
356	1460	5086
357	1464	5081
358	1468	5076
359	1472	5071
360	1476	5066
361	1480	5062
362	1484	5059
363	1489	5058
364	1493	5053
365	1497	5049
366	1501	5044
367	1516	5078
368	1525	5087
369	1529	5083
370	1532	5078
371	1537	5073
372	1541	5070
373	1545	5065
374	1549	5061
375	1553	5057
376	1558	5054
377	1563	5053
378	1567	5048
379	1571	5044
380	1575	5039
381	1579	5035
382	1583	5031
383	1587	5026
384	1591	5021
385	1595	5016
386	1599	5013
387	1603	5009
388	1607	5004
389	1611	4999
390	1615	4994
391	1619	4990
392	1623	4985
393	1631	4994
394	1637	4994
395	1641	4989
396	1645	4985
397	1649	4981
398	1653	4977
399	1657	4972
400	1661	4967
401	1665	4963
402	1669	4959
403	1673	4954
404	1677	4948
405	1681	4945
406	1685	4940
407	1689	4935
408	1693	4930
409	1696	4925
410	1700	4920
411	1704	4914
412	1708	4909
413	1712	4904
414	1716	4899
415	1720	4895
416	1724	4891
417	1728	4886
418	1731	4881
419	1735	4876
420	1739	4871
421	1743	4866
422	1747	4861
423	1752	4860
424	1756	4855
425	1760	4850
426	1763	4845
427	1767	4840
428	1771	4835
429	1775	4830
430	1779	4825
431	1783	4820
432	1786	4815
433	1790	4811
434	1794	4806
435	1799	4803
436	1802	4798
437	1806	4793
438	1810	4788
439	1814	4783
440	1818	4778
441	1821	4773
442	1825	4768
443	1829	4763
444	1833	4759
445	1837	4754
446	1841	4749
447	1845	4744
448	1848	4739
449	1853	4735
450	1857	4731
451	1861	4727
452	1865	4722
453	1868	4717
454	1872	4712
455	1876	4707
456	1880	4703
457	1884	4699
458	1888	4694
459	1892	4689
460	1896	4685
461	1900	4680
462	1903	4675
463	1907	4670
464	1912	4668
465	1919	4671
466	1924	4668
467	1928	4663
468	1932	4659
469	1935	4654
470	1939	4649
471	1943	4645
472	1948	4642
473	1952	4637
474	1956	4633
475	1960	4628
476	1964	4623
477	1967	4619
478	1971	4614
479	1975	4609
480	1979	4604
481	1983	4600
482	1987	4595
483	1991	4591
484	1995	4588
485	1999	4583
486	2003	4578
487	2007	4573
488	2010	4568
489	2014	4564
490	2018	4559
491	2022	4555
492	2026	4550
493	2030	4545
494	2034	4541
495	2038	4536
496	2041	4531
497	2045	4527
498	2049	4522
499	2053	4518
500	2057	4513
501	2061	4508
502	2065	4504
503	2069	4499
504	2072	4494
505	2076	4490
506	2080	4485
507	2084	4480
508	2088	4476
509	2092	4471
510	2096	4467
511	2099	4462
512	2103	4457
513	2107	4453
514	2111	4448
515	2116	4445
516	2120	4441
517	2124	4437
518	2127	4432
519	2131	4427
520	2136	4424
521	2140	4420
522	2144	4415
523	2148	4411
524	2152	4406
525	2155	4402
526	2159	4397
527	2163	4392
528	2167	4387
529	2171	4383
530	2174	4378
531	2178	4373
532	2182	4369
533	2186	4364
534	2190	4360
535	2194	4355
536	2198	4351
537	2201	4346
538	2209	4350
539	2214	4347
540	2218	4343
541	2222	4338
542	2226	4333
543	2230	4330
544	2234	4326
545	2238	4321
546	2242	4317
547	2246	4313
548	2250	4308
549	2254	4304
550	2258	4299
551	2262	4295
552	2266	4290
553	2270	4286
554	2274	4282
555	2278	4277
556	2282	4273
557	2285	4268
558	2289	4264
559	2293	4259
560	2297	4255
561	2301	4250
562	2305	4246
563	2309	4241
564	2313	4237
565	2317	4232
566	2320	4228
567	2324	4223
568	2328	4219
569	2333	4216
570	2336	4211
571	2340	4206
572	2344	4202
573	2348	4197
574	2352	4193
575	2356	4188
576	2360	4184
577	2363	4179
578	2367	4175
579	2371	4170
580	2375	4165
581	2379	4161
582	2382	4156
583	2386	4152
584	2390	4147
585	2394	4143
586	2398	4138
587	2402	4135
588	2406	4130
589	2410	4126
590	2414	4121
591	2417	4116
592	2421	4112
593	2425	4107
594	2429	4103
595	2433	4098
596	2436	4094
597	2440	4089
598	2444	4085
599	2448	4080
600	2452	4076
601	2456	4071
602	2459	4067
603	2463	4062
604	2467	4058
605	2471	4054
606	2475	4049
607	2479	4045
608	2483	4040
609	2487	4037
610	2497	4043
611	2503	4041
612	2507	4037
613	2511	4033
614	2515	4028
615	2519	4024
616	2524	4022
617	2528	4017
618	2532	4013
619	2536	4008
620	2540	4004
621	2543	3999
622	2547	3995
623	2551	3991
624	2555	3986
625	2559	3982
626	2563	3977
627	2566	3973
628	2571	3969
629	2575	3965
630	2578	3960
631	2582	3956
632	2586	3951
633	2590	3946
634	2594	3943
635	2598	3939
636	2602	3935
637	2607	3930
638	2610	3926
639	2614	3922
640	2618	3917
641	2622	3913
642	2627	3910
643	2631	3906
644	2635	3902
645	2639	3898
646	2643	3894
647	2647	3889
648	2651	3885
649	2656	3881
650	2659	3877
651	2664	3873
652	2668	3869
653	2672	3865
654	2676	3861
655	2680	3857
656	2684	3853
657	2688	3849
658	2695	3848
659	2699	3844
660	2702	3839
661	2706	3835
662	2710	3830
663	2714	3826
664	2719	3823
665	2723	3819
666	2727	3814
667	2730	3810
668	2734	3805
669	2738	3801
670	2742	3796
671	2746	3792
672	2750	3788
673	2753	3783
674	2757	3779
675	2761	3774
676	2765	3770
677	2769	3765
678	2773	3761
679	2781	3762
680	2785	3759
681	2789	3755
682	2794	3751
683	2797	3746
684	2801	3742
685	2805	3738
686	2809	3734
687	2814	3730
688	2818	3726
689	2821	3721
690	2825	3717
691	2829	3712
692	2833	3708
693	2837	3703
694	2840	3699
695	2844	3694
696	2848	3690
697	2852	3685
698	2856	3681
699	2860	3677
700	2864	3673
701	2867	3668
702	2871	3664
703	2875	3659
704	2879	3655
705	2883	3650
706	2886	3646
707	2890	3642
708	2894	3637
709	2898	3633
710	2902	3629
711	2906	3624
712	2910	3620
713	2915	3617
714	2919	3613
715	2923	3608
716	2926	3604
717	2930	3600
718	2934	3596
719	2940	3593
720	2949	3595
721	2953	3591
722	2957	3587
723	2962	3584
724	2969	3584
725	2975	3582
726	2979	3578
727	2984	3574
728	2989	3571
729	2994	3568
730	2999	3565
731	3003	3561
732	3009	3559
733	3013	3555
734	3017	3551
735	3021	3547
736	3025	3542
737	3029	3538
738	3033	3534
739	3037	3529
740	3041	3525
741	3044	3520
742	3048	3516
743	3052	3512
744	3056	3507
745	3061	3504
746	3069	3504
747	3072	3500
748	3077	3496
749	3081	3492
750	3085	3488
751	3089	3484
752	3093	3479
753	3097	3475
754	3101	3471
755	3106	3468
756	3110	3463
757	3114	3459
758	3117	3454
759	3121	3450
760	3125	3445
761	3129	3441
762	3133	3436
763	3136	3432
764	3140	3428
765	3144	3423
766	3148	3419
767	3152	3414
768	3156	3410
769	3159	3406
770	3163	3401
771	3167	3397
772	3172	3393
773	3176	3389
774	3180	3385
775	3183	3380
776	3187	3376
777	3191	3371
778	3195	3367
779	3198	3362
780	3202	3358
781	3206	3354
782	3210	3349
783	3214	3345
784	3218	3341
785	3221	3336
786	3225	3332
787	3229	3328
788	3233	3323
789	3237	3319
790	3241	3314
791	3245	3310
792	3248	3306
793	3252	3301
794	3256	3297
795	3260	3292
796	3264	3288
797	3267	3284
798	3271	3280
799	3275	3275
800	3279	3271
801	3283	3266
802	3287	3262
803	3291	3258
804	3295	3254
805	3300	3251
806	3304	3247
807	3308	3242
808	3312	3238
809	3316	3234
810	3319	3229
811	3323	3225
812	3327	3221
813	3332	3217
814	3335	3213
815	3340	3209
816	3347	3208
817	3352	3204
818	3356	3200
819	3360	3196
820	3364	3192
821	3368	3188
822	3372	3184
823	3376	3179
824	3380	3175
